time,rx_latitude,rx_longitude,gateway_id,device_id,spreading_factor
2024-05-02T15:58:59.447097,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:59:10.813087,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:59:22.483194,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:59:55.686641,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:00:07.344567,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:00:18.139201,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:00:31.310346,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:00:40.835779,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:00:53.113353,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:01:03.529542,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:01:30.993692,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:01:59.535578,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:02:23.137769,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:02:33.574099,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:03:02.870657,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:03:18.099751,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:03:30.099511,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:03:40.731837,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:03:52.221035,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:04:03.276222,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:04:16.493718,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:04:26.298150,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:04:37.277090,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:05:01.649431,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:05:10.908390,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:05:31.315511,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:05:53.438684,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:06:07.393214,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:06:18.298715,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:06:51.806226,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:07:03.205992,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:07:14.518749,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:07:39.863556,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:07:49.396816,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:08:01.067469,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:08:13.674054,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:08:36.701375,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:08:47.143438,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:10:15.929909,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T16:10:26.994878,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T16:10:39.280127,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:10:49.418004,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:11:00.675311,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:17:30.611343,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:17:43.839938,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:18:06.570511,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:18:18.561288,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:18:29.009772,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:18:40.260728,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:18:51.733297,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:19:02.997257,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:19:14.211470,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:21:28.120175,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T16:22:11.420133,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T16:24:25.144991,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T16:24:46.580349,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T16:24:57.623933,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:25:09.298132,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:25:20.973321,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:25:31.554320,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:25:42.973987,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:25:54.458139,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T16:26:06.322495,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:26:17.191970,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:26:28.221774,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T16:26:51.294636,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:27:01.896121,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:27:13.719046,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:27:25.087323,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:27:36.958203,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T16:27:47.150439,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
